 -Devices.Conditioning@42110406| Electricity:980| Water:0| Money:0
 -Devices.Computer@531d72ca| Electricity:280| Water:0| Money:0
 -Devices.Illumination@22d8cfe0| Electricity:520| Water:0| Money:0
 -Devices.Blinds@579bb367| Electricity:260| Water:0| Money:0
 -Devices.Heater@1de0aca6| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@255316f2| Electricity:980| Water:0| Money:0
 -Devices.Computer@41906a77| Electricity:280| Water:0| Money:0
 -Devices.Illumination@4b9af9a9| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5387f9e0| Electricity:260| Water:0| Money:0
 -Devices.Heater@6e5e91e4| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2cdf8d8a| Electricity:980| Water:0| Money:0
 -Devices.Computer@30946e09| Electricity:280| Water:0| Money:0
 -Devices.Illumination@5cb0d902| Electricity:520| Water:0| Money:0
 -Devices.Blinds@46fbb2c1| Electricity:260| Water:0| Money:0
 -Devices.Heater@1698c449| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@5ef04b5| Electricity:980| Water:0| Money:0
 -Devices.Fridge@5f4da5c3| Electricity:350| Water:0| Money:0
 -Devices.Microwave@443b7951| Electricity:150| Water:0| Money:0
 -Devices.Plate@14514713| Electricity:280| Water:0| Money:0
 -Devices.Teapot@69663380| Electricity:40| Water:20| Money:0
 -Devices.Illumination@5b37e0d2| Electricity:520| Water:0| Money:0
 -Devices.Blinds@4459eb14| Electricity:260| Water:0| Money:0
 -Devices.Heater@5a2e4553| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@28c97a5| Electricity:980| Water:0| Money:0
 -Devices.Fridge@6659c656| Electricity:350| Water:0| Money:0
 -Devices.Microwave@6d5380c2| Electricity:150| Water:0| Money:0
 -Devices.Plate@45ff54e6| Electricity:280| Water:0| Money:0
 -Devices.Teapot@2328c243| Electricity:40| Water:20| Money:0
 -Devices.Illumination@bebdb06| Electricity:520| Water:0| Money:0
 -Devices.Blinds@7a4f0f29| Electricity:260| Water:0| Money:0
 -Devices.Heater@45283ce2| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2077d4de| Electricity:980| Water:0| Money:0
 -Devices.Fridge@7591083d| Electricity:350| Water:0| Money:0
 -Devices.Microwave@77a567e1| Electricity:150| Water:0| Money:0
 -Devices.Plate@736e9adb| Electricity:280| Water:0| Money:0
 -Devices.Teapot@6d21714c| Electricity:40| Water:20| Money:0
 -Devices.Illumination@108c4c35| Electricity:520| Water:0| Money:0
 -Devices.Blinds@4ccabbaa| Electricity:260| Water:0| Money:0
 -Devices.Heater@4bf558aa| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2d38eb89| Electricity:980| Water:0| Money:0
 -Devices.Fridge@5fa7e7ff| Electricity:350| Water:0| Money:0
 -Devices.Microwave@4629104a| Electricity:150| Water:0| Money:0
 -Devices.Plate@27f8302d| Electricity:280| Water:0| Money:0
